rank,CONS_NO,risk_score,actual_theft
1,C00729,0.9412611256841712,1
2,C00326,0.9305192594990792,1
3,C00468,0.9297293403326787,1
4,C00156,0.9211756156660889,1
5,C00570,0.9024533852996189,1
6,C00837,0.8994531851459762,1
7,C00036,0.8969159960746765,1
8,C00371,0.8832427209084455,1
9,C00914,0.8801304310560226,1
10,C00581,0.8750467694175407,1
11,C00904,0.8659242019057274,1
12,C00875,0.8565556154298346,1
13,C00696,0.8528947290201216,1
14,C00952,0.846706035733223,1
15,C00318,0.8423812866210938,1
16,C00686,0.8401507928967475,1
17,C00850,0.8276379973047318,1
18,C00770,0.8222887296279271,1
19,C00524,0.8221656220158402,1
20,C00860,0.8211799798558388,1
21,C00171,0.8162886370023092,1
22,C00227,0.8014569044992894,1
23,C00049,0.78967490715404,1
24,C00761,0.7848341191969135,1
25,C00415,0.6057721198646047,0
26,C00389,0.5903866386874219,0
27,C00641,0.5039311324823279,0
28,C00712,0.42260071769332347,0
29,C00522,0.37547091465908766,0
30,C00273,0.36963989351694104,0
31,C00955,0.3406478136447947,0
32,C00174,0.33348704001940627,0
33,C00734,0.2712735111979403,0
34,C00112,0.26794847572338354,0
35,C00523,0.2641708036748227,0
36,C00873,0.26014921936943103,0
37,C00228,0.25806072937082236,0
38,C00635,0.25453744986901816,0
39,C00848,0.25027467601824005,0
40,C00749,0.25015892762014197,0
41,C00405,0.24714409943059432,0
42,C00846,0.2399494632080449,0
43,C00847,0.2383299869742319,0
44,C00040,0.2376802570022555,0
45,C00288,0.23592229995845967,1
46,C00784,0.22981119553656332,0
47,C00360,0.22530188248780492,0
48,C00452,0.2214549634716265,0
49,C00724,0.21760929340105023,0
50,C00177,0.216710132010622,0
51,C00475,0.21618484124514356,0
52,C00520,0.21222224003628729,0
53,C00826,0.2103022472990667,0
54,C00822,0.20748903324517656,0
55,C00285,0.2036012680889827,0
56,C00791,0.2025247504484627,0
57,C00782,0.19095376637922018,0
58,C00062,0.18803056708996713,0
59,C00536,0.18330185154309508,0
60,C00312,0.18276265049459278,1
61,C00980,0.18090566711132855,0
62,C00845,0.17787440077559363,0
63,C00814,0.1738529949969809,0
64,C00629,0.17320537744494924,0
65,C00703,0.1721877130341247,0
66,C00577,0.1712349406732248,0
67,C00651,0.17079222519343484,0
68,C00735,0.17025817932749998,0
69,C00358,0.17015192257910328,0
70,C00272,0.17006410442959854,0
71,C00996,0.16887744142576736,0
72,C00593,0.1667558691040625,0
73,C00843,0.16511781517713703,0
74,C00634,0.16302948019421665,0
75,C00815,0.1624300392773773,0
76,C00564,0.16230270051101295,0
77,C00050,0.16170282235117592,0
78,C00636,0.16120105122858813,0
79,C00484,0.16091701677719683,0
80,C00216,0.1590706242288315,0
81,C00854,0.15707316152627793,0
82,C00329,0.15665687526317834,0
83,C00120,0.15558940845387662,1
84,C00108,0.15113739781872867,0
85,C00792,0.1490311521104003,0
86,C00154,0.14660820079152473,0
87,C00821,0.1450863074856792,0
88,C00537,0.1445024128188379,0
89,C00307,0.14367847747635096,0
90,C00099,0.14312903658854387,0
91,C00103,0.1393758996239768,1
92,C00447,0.13651211946886424,0
93,C00866,0.13361870900262146,0
94,C00633,0.13325332813624235,1
95,C00113,0.13260193909718146,0
96,C00462,0.1324658457536398,0
97,C00261,0.12769439769908786,0
98,C00502,0.12477696870919316,0
99,C00097,0.12260865699844145,0
100,C00681,0.12130928498227149,0
101,C00823,0.12088439622893929,0
102,C00698,0.1185091519379057,0
103,C00765,0.11695625586435199,0
104,C00892,0.11631303558824584,0
105,C00935,0.11376011100533108,0
106,C00717,0.11365113128383292,0
107,C00271,0.11068726237366597,0
108,C00876,0.10810373309068382,0
109,C00057,0.10626564833248295,0
